Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,8,64,off,asynchronous,1000,32,7.95377,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,610
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,8,128,off,asynchronous,1000,32,9.84268,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,554
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,8,256,off,asynchronous,1000,32,10.0839,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,553
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,16,32,off,asynchronous,1000,32,7.34184,100000,9241556,0,2166,0,342,77,7539,2166,9241795,9239390,866
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,16,64,off,asynchronous,1000,32,8.37614,100000,9239531,0,140,0,69,1,1124,140,9239562,9239391,707
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,16,128,off,asynchronous,1000,32,6.44209,100000,9240060,0,674,0,189,7,3600,674,9240122,9239386,882
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,16,16,256,off,asynchronous,1000,32,7.1678,100000,9239473,0,83,0,41,0,608,83,9239486,9239390,720
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,16,32,off,asynchronous,1000,32,6.99786,100000,9239469,0,78,0,44,0,603,78,9239477,9239391,656
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,16,64,off,asynchronous,1000,32,6.99068,100000,9239477,0,87,0,40,0,697,87,9239492,9239390,670
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,16,128,off,asynchronous,1000,32,6.93901,100000,9239728,0,339,0,101,3,1643,339,9239798,9239389,664
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,32,16,256,off,asynchronous,1000,32,8.18224,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,638
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,16,32,off,asynchronous,1000,32,7.84307,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,623
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,16,64,off,asynchronous,1000,32,7.5104,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,623
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,16,128,off,asynchronous,1000,32,7.8989,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,602
epidemic,./epidemic_sim-mmodel_100k_ws.dat,6000,64,16,256,off,asynchronous,1000,32,9.99407,100000,9239391,0,0,0,0,0,0,0,9239391,9239391,590
