Model,Model_Command,Max_Simulation_Time,Worker_Thread_Count,Schedule_Queue_Count,Block_Size,is_LP_Migration_ON,GVT_Method,GVT_Period,State_Save_Period,Simulation_Runtime_(secs.),Number_of_Objects,Local_Positive_Events_Sent,Remote_Positive_Events_Sent,Local_Negative_Events_Sent,Remote_Negative_Events_Sent,Primary_Rollbacks,Secondary_Rollbacks,Coast_Forwarded_Events,Cancelled_Events,Events_Processed,Events_Committed,Average_Memory_Usage_(MB)
traffic,./traffic_sim-x1024-y1024-n5,500,4,1,64,off,asynchronous,1000,32,29.1086,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1047
traffic,./traffic_sim-x1024-y1024-n5,500,4,1,128,off,asynchronous,1000,32,30.8791,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1053
traffic,./traffic_sim-x1024-y1024-n5,500,4,1,256,off,asynchronous,1000,32,31.9377,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1052
traffic,./traffic_sim-x1024-y1024-n5,500,8,1,32,off,asynchronous,1000,32,30.9007,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1042
traffic,./traffic_sim-x1024-y1024-n5,500,8,1,64,off,asynchronous,1000,32,31.0969,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1052
traffic,./traffic_sim-x1024-y1024-n5,500,8,1,128,off,asynchronous,1000,32,29.9099,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1042
traffic,./traffic_sim-x1024-y1024-n5,500,8,1,256,off,asynchronous,1000,32,34.7661,1048576,6549209,0,0,0,1,0,3,0,6549210,6549209,1065
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,32,off,asynchronous,1000,32,19.0804,1048576,6549210,0,1,0,2,0,1,1,6549211,6549209,1054
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,64,off,asynchronous,1000,32,19.809,1048576,6549209,0,0,0,1,0,0,0,6549210,6549209,1057
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,128,off,asynchronous,1000,32,19.9404,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1062
traffic,./traffic_sim-x1024-y1024-n5,500,4,2,256,off,asynchronous,1000,32,22.2814,1048576,6549210,0,1,0,6,0,18,1,6549215,6549209,1065
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,32,off,asynchronous,1000,32,18.5944,1048576,6549210,0,1,0,2,0,5,1,6549211,6549209,1058
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,64,off,asynchronous,1000,32,16.2033,1048576,6549211,0,2,0,7,0,24,2,6549218,6549209,1056
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,128,off,asynchronous,1000,32,16.7955,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1055
traffic,./traffic_sim-x1024-y1024-n5,500,8,2,256,off,asynchronous,1000,32,16.9676,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1057
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,32,off,asynchronous,1000,32,22.074,1048576,6549219,0,10,0,29,1,132,10,6549250,6549209,1071
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,64,off,asynchronous,1000,32,21.5609,1048576,6549229,0,20,0,53,2,226,20,6549293,6549209,1069
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,128,off,asynchronous,1000,32,21.1119,1048576,6549216,0,7,0,28,0,103,7,6549245,6549209,1073
traffic,./traffic_sim-x1024-y1024-n5,500,4,4,256,off,asynchronous,1000,32,20.6263,1048576,6549222,0,13,0,46,1,196,13,6549275,6549209,1071
traffic,./traffic_sim-x1024-y1024-n5,500,8,4,32,off,asynchronous,1000,32,12.7884,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1060
traffic,./traffic_sim-x1024-y1024-n5,500,8,4,64,off,asynchronous,1000,32,13.7824,1048576,6549217,0,8,0,27,0,91,8,6549244,6549209,1070
traffic,./traffic_sim-x1024-y1024-n5,500,8,4,128,off,asynchronous,1000,32,11.9883,1048576,6549218,0,9,0,29,1,135,9,6549251,6549209,1066
traffic,./traffic_sim-x1024-y1024-n5,500,8,4,256,off,asynchronous,1000,32,12.7659,1048576,6549217,0,8,0,33,1,161,8,6549254,6549209,1070
traffic,./traffic_sim-x1024-y1024-n5,500,16,1,32,off,asynchronous,1000,32,31.0561,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1030
traffic,./traffic_sim-x1024-y1024-n5,500,16,1,64,off,asynchronous,1000,32,30.1168,1048576,6549210,0,1,0,1,0,8,1,6549210,6549209,1035
traffic,./traffic_sim-x1024-y1024-n5,500,16,1,128,off,asynchronous,1000,32,33.6736,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1041
traffic,./traffic_sim-x1024-y1024-n5,500,16,1,256,off,asynchronous,1000,32,32.0845,1048576,6549209,0,0,0,1,0,6,0,6549210,6549209,1042
traffic,./traffic_sim-x1024-y1024-n5,500,32,1,32,off,asynchronous,1000,32,38.6994,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1043
traffic,./traffic_sim-x1024-y1024-n5,500,32,1,64,off,asynchronous,1000,32,30.6117,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1041
traffic,./traffic_sim-x1024-y1024-n5,500,32,1,128,off,asynchronous,1000,32,33.9322,1048576,6549209,0,0,0,2,0,11,0,6549211,6549209,1049
traffic,./traffic_sim-x1024-y1024-n5,500,32,1,256,off,asynchronous,1000,32,37.0272,1048576,6549210,0,1,0,3,0,14,1,6549212,6549209,1035
traffic,./traffic_sim-x1024-y1024-n5,500,64,1,32,off,asynchronous,1000,32,39.8565,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1044
traffic,./traffic_sim-x1024-y1024-n5,500,64,1,64,off,asynchronous,1000,32,38.4315,1048576,6549209,0,0,0,1,0,7,0,6549210,6549209,1040
traffic,./traffic_sim-x1024-y1024-n5,500,64,1,128,off,asynchronous,1000,32,37.6551,1048576,6549210,0,1,0,1,0,8,1,6549210,6549209,1040
traffic,./traffic_sim-x1024-y1024-n5,500,64,1,256,off,asynchronous,1000,32,37.6347,1048576,6549216,0,7,0,11,0,40,7,6549220,6549209,1048
traffic,./traffic_sim-x1024-y1024-n5,500,16,2,32,off,asynchronous,1000,32,15.8838,1048576,6549210,0,1,0,2,0,1,1,6549211,6549209,1043
traffic,./traffic_sim-x1024-y1024-n5,500,16,2,64,off,asynchronous,1000,32,16.7198,1048576,6549210,0,1,0,10,0,38,1,6549219,6549209,1056
traffic,./traffic_sim-x1024-y1024-n5,500,16,2,128,off,asynchronous,1000,32,16.1706,1048576,6549209,0,0,0,2,0,14,0,6549211,6549209,1037
traffic,./traffic_sim-x1024-y1024-n5,500,16,2,256,off,asynchronous,1000,32,16.9575,1048576,6549210,0,1,0,3,0,14,1,6549212,6549209,1053
traffic,./traffic_sim-x1024-y1024-n5,500,32,2,32,off,asynchronous,1000,32,16.0223,1048576,6549209,0,0,0,0,0,0,0,6549209,6549209,1039
traffic,./traffic_sim-x1024-y1024-n5,500,32,2,64,off,asynchronous,1000,32,17.9551,1048576,6549209,0,0,0,2,0,14,0,6549212,6549209,1050
traffic,./traffic_sim-x1024-y1024-n5,500,32,2,128,off,asynchronous,1000,32,17.0224,1048576,6549210,0,1,0,5,0,15,1,6549214,6549209,1042
